"","OH_NUM","date_debut","date_fin","ID","ID_nom","occupation","densite","date_debut_OH","date_fin_OH","n_zone","diff_zone_occ","diff_zone_dens","n_diff_occ","n_diff_dens","NOM","V_USAGE","NOM_USAGE","V_URB","PORTEE"
"1","4",556,899,NA,NA,"non urbaine","0",556,1350,2,FALSE,FALSE,1,1,"Saint-Vincent",42,"édifices culturels catholiques","4",1
"2","5",442,549,"EU_03","cite_castrum","urbaine","2",442,1500,4,FALSE,FALSE,0,1,"Saint-Gervais et Saint-Protais",42,"édifices culturels catholiques","4",1
"3","6",337,549,"EU_03","cite_castrum","urbaine","2",337,558,2,FALSE,FALSE,0,1,"ecclesia prima de Saint Lidoire",42,"édifices culturels catholiques","4",3
"4","7",325,522,"EU_03","cite_castrum","urbaine","2",325,522,1,FALSE,FALSE,0,0,"Baptistere de la cite ?",42,"édifices culturels catholiques","4",3
"5","8",350,600,NA,NA,"non urbaine","0",350,600,1,FALSE,FALSE,0,0,"Necropole du site 6",51,"aire funéraire","5",2
"6","11",400,549,"EU_03","cite_castrum","urbaine","2",400,600,2,FALSE,FALSE,0,1,"Domus ecclesiae",44,"bâtiments ecclésiastiques","4",2
"7","12",550,699,NA,NA,"non urbaine","0",550,1200,3,FALSE,FALSE,1,1,"Sainte-Monegonde",43,"bâtiments conventuels ou monastiques","4",1
"8","13",337,800,NA,NA,"non urbaine","0",337,800,1,FALSE,FALSE,0,0,"Basilique Saint-Lidoire",42,"édifices culturels catholiques","4",3
"9","14",560,699,"EU_07","vicus_sm","urbaine","1",560,1800,7,FALSE,FALSE,0,2,"Monastere de Radegonde",43,"bâtiments conventuels ou monastiques","4",2
"10","16",458,899,NA,NA,"non urbaine","0",458,1800,4,FALSE,FALSE,1,2,"Saint-Pierre et Saint-Paul",42,"édifices culturels catholiques","4",1
"11","18",325,1355,NA,NA,"non urbaine","0",325,1800,4,FALSE,FALSE,2,1,"cimetiere autour de Saint-Lidoire",51,"aire funéraire","5",2
"12","23",397,440,NA,NA,"non urbaine","0",397,440,1,FALSE,FALSE,0,0,"Tombe de Martin",42,"édifices culturels catholiques","4",2
"13","24",849,1000,"EU_06","centre_sm_2","urbaine","3",849,1000,1,FALSE,FALSE,0,0,"Notre-Dame-de-l'Ecrignole",42,"édifices culturels catholiques","4",1
"14","25",854,899,NA,NA,"non urbaine","0",854,1100,2,FALSE,FALSE,1,1,"Saint-Clement",42,"édifices culturels catholiques","4",1
"15","28",1023,1355,"EU_11","suburbium_sm","urbaine","2",1023,1790,4,FALSE,FALSE,0,0,"Saint-Denis",42,"édifices culturels catholiques","4",1
"16","31",1140,1350,NA,NA,"non urbaine","0",1140,1350,1,FALSE,FALSE,0,0,"Saint-Medard",42,"édifices culturels catholiques","4",1
"17","32",850,899,NA,NA,"non urbaine","0",850,1100,2,FALSE,FALSE,1,1,"Saint-Simple",42,"édifices culturels catholiques","4",1
"18","34",877,899,"EU_09","cite_NE_1","urbaine","2",877,918,2,FALSE,FALSE,0,0,"Saint-Martin-de-la-Bazoche",43,"bâtiments conventuels ou monastiques","4",1
"19","35",920,1140,"EU_11","suburbium_sm","urbaine","2",920,1140,1,FALSE,FALSE,0,0,"Notre-Dame-la-Pauvre",42,"édifices culturels catholiques","4",1
"20","36",1140,1355,"EU_11","suburbium_sm","urbaine","2",1140,1800,4,FALSE,FALSE,2,0,"Notre-Dame-la-Riche",42,"édifices culturels catholiques","4",1
"21","38",1150,1171,"EU_11","suburbium_sm","urbaine","2",1150,1171,1,FALSE,FALSE,0,0,"Saint-Michel-de-la-Guerche",43,"bâtiments conventuels ou monastiques","4",1
"22","39",522,549,"EU_03","cite_castrum","urbaine","2",522,1350,3,FALSE,FALSE,0,1,"Sainte-Marie et Saint-Jean-Baptiste",42,"édifices culturels catholiques","4",1
"23","40",470,549,"EU_05","centre_sm_1","intermediaire","1",470,1800,4,FALSE,FALSE,1,1,"Baptistere de Saint-Martin",42,"édifices culturels catholiques","4",3
"24","45",550,849,"EU_06","centre_sm_2","urbaine","3",550,849,1,FALSE,FALSE,0,0,"Monastere d'Ingytrude",43,"bâtiments conventuels ou monastiques","4",2
"25","46",1000,1355,"EU_11","suburbium_sm","urbaine","2",1000,1778,2,FALSE,FALSE,0,1,"Saint-Simple",42,"édifices culturels catholiques","4",1
"26","47",1100,1355,"EU_11","suburbium_sm","urbaine","2",1100,1790,4,FALSE,FALSE,0,0,"Saint-Clement",42,"édifices culturels catholiques","4",1
"27","108",15,40,"EU_01","ville_ouverte_1","urbaine","2",15,40,1,FALSE,FALSE,0,0,"STR 19 (site 14)",37,"habitat","3",1
"28","109",40,299,"EU_01","ville_ouverte_1","urbaine","2",40,300,2,FALSE,FALSE,0,1,"structure 16 (site 14)",37,"habitat","3",1
"29","111",140,299,"EU_01","ville_ouverte_1","urbaine","2",140,500,3,FALSE,FALSE,1,1,"piece 1, structure 16 (site14)",61,"commerce, échanges, boutiques","6",1
"30","112",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,500,2,FALSE,FALSE,1,0,"structure 16 demantelee (site 14)",37,"habitat","3",1
"31","113",40,125,"EU_01","ville_ouverte_1","urbaine","2",40,125,1,FALSE,FALSE,0,0,"construction sur parcelle centrale (site 14)",37,"habitat","3",1
"32","114",125,225,"EU_01","ville_ouverte_1","urbaine","2",125,225,1,FALSE,FALSE,0,0,"habitation sur parcelle centrale (site 14)",37,"habitat","3",1
"33","115",40,299,"EU_01","ville_ouverte_1","urbaine","2",40,300,2,FALSE,FALSE,0,1,"structure 18 (site 14)",37,"habitat","3",1
"34","116",40,160,"EU_01","ville_ouverte_1","urbaine","2",40,160,1,FALSE,FALSE,0,0,"structure 17 (site 14)",37,"habitat","3",1
"35","117",160,299,"EU_01","ville_ouverte_1","urbaine","2",160,500,3,FALSE,FALSE,1,1,"structure 17 (site 14)",37,"habitat","3",1
"36","118",450,688,"EU_04","stjulien_1","intermediaire","1",450,688,1,FALSE,FALSE,0,0,"premiere phase de terres noires (site 14)",37,"habitat","3",1
"37","119",619,688,"EU_04","stjulien_1","intermediaire","1",619,688,1,FALSE,FALSE,0,0,"sepultures (site 14)",51,"aire funéraire","5",2
"38","201",40,349,NA,NA,"non urbaine","0",40,400,2,FALSE,FALSE,1,1,"STR 18, culee du pont (site 16)",15,"franchissements","1",3
"39","202",40,349,NA,NA,"non urbaine","0",40,400,2,FALSE,FALSE,1,1,"STR 19 = M20, systeme de noria/acqueduc (site 16)",16,"adductions d'eau","1",2
"40","204",50,70,"EU_01","ville_ouverte_1","urbaine","2",50,70,1,FALSE,FALSE,0,0,"occupation indeterminee (site 3)",14,"aménagements du relief","1",2
"41","205",70,299,"EU_01","ville_ouverte_1","urbaine","2",70,300,2,FALSE,FALSE,0,0,"Etat 1 des thermes N (site 3)",36,"bains, thermes","3",2
"42","206",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"mur W du rempart BE",21,"système défensif urbain","2",2
"43","207",300,349,NA,NA,"non urbaine","0",300,1050,3,FALSE,FALSE,2,2,"tour angle NW du rempart BE",21,"système défensif urbain","2",2
"44","208",300,1621,NA,NA,"non urbaine","0",300,1750,2,FALSE,FALSE,1,1,"tronçon mur N, W poterne du rempart BE",21,"système défensif urbain","2",2
"45","209",300,1450,NA,NA,"non urbaine","0",300,1450,1,FALSE,FALSE,0,0,"poterne du rempart BE",21,"système défensif urbain","2",2
"46","210",300,1621,NA,NA,"non urbaine","0",300,1750,2,FALSE,FALSE,1,1,"tronçon mur N, E poterne du rempart BE",21,"système défensif urbain","2",2
"47","214",95,200,"EU_01","ville_ouverte_1","urbaine","2",95,200,1,FALSE,FALSE,0,0,"habitation (2e bat.) (site 10)",37,"habitat","3",1
"48","216",700,1500,NA,NA,"non urbaine","0",700,1500,1,FALSE,FALSE,0,0,"sepultures (site 10)",51,"aire funéraire","5",2
"49","217",20,100,"EU_01","ville_ouverte_1","urbaine","2",20,100,1,FALSE,FALSE,0,0,"batiment sur solins (etat 2) (site 7, zone 3)",37,"habitat","3",1
"50","218",100,299,"EU_01","ville_ouverte_1","urbaine","2",100,300,2,FALSE,FALSE,0,1,"domus a peristyle  (site 7, zone 3)",37,"habitat","3",1
"51","220",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,350,2,FALSE,FALSE,1,1,"sepultures (site 7, zone 3)",51,"aire funéraire","5",2
"52","221",470,471,"EU_05","centre_sm_1","intermediaire","1",470,471,1,FALSE,FALSE,0,0,"STR ? atelier mosa´ste (site 7, zone 3)",62,"artisanat, ateliers","6",1
"53","222",450,500,"EU_05","centre_sm_1","intermediaire","1",450,500,1,FALSE,FALSE,0,0,"cabane excavee (site 7, zone 5)",44,"bâtiments ecclésiastiques","4",4
