"","OH_NUM","date_debut","date_fin","ID","ID_nom","occupation","densite","date_debut_OH","date_fin_OH","n_zone","diff_zone_occ","diff_zone_dens","n_diff_occ","n_diff_dens","NOM","V_USAGE","NOM_USAGE","V_URB","PORTEE"
"1","4",556,899,NA,NA,"non urbaine","0",556,1350,2,FALSE,FALSE,1,1,"Saint-Vincent",42,"édifices culturels catholiques","4",1
"2","4",900,1350,"EU_16","stjulien_2","intermediaire","1",556,1350,2,TRUE,TRUE,1,1,"Saint-Vincent",42,"édifices culturels catholiques","4",1
"3","5",442,549,"EU_03","cite_castrum","urbaine","2",442,1500,4,FALSE,FALSE,0,1,"Saint-Gervais et Saint-Protais",42,"édifices culturels catholiques","4",1
"4","5",550,899,"EU_08","cite_SO_1","urbaine","3",442,1500,4,FALSE,TRUE,0,1,"Saint-Gervais et Saint-Protais",42,"édifices culturels catholiques","4",1
"5","5",900,1355,"EU_12","cite_SO_2","urbaine","3",442,1500,4,FALSE,FALSE,0,1,"Saint-Gervais et Saint-Protais",42,"édifices culturels catholiques","4",1
"6","5",1356,1500,"EU_22","cite_S_1","urbaine","3",442,1500,4,FALSE,FALSE,0,1,"Saint-Gervais et Saint-Protais",42,"édifices culturels catholiques","4",1
"7","6",337,549,"EU_03","cite_castrum","urbaine","2",337,558,2,FALSE,FALSE,0,1,"ecclesia prima de Saint Lidoire",42,"édifices culturels catholiques","4",3
"8","6",550,558,"EU_08","cite_SO_1","urbaine","3",337,558,2,FALSE,TRUE,0,1,"ecclesia prima de Saint Lidoire",42,"édifices culturels catholiques","4",3
"9","7",325,522,"EU_03","cite_castrum","urbaine","2",325,522,1,FALSE,FALSE,0,0,"Baptistere de la cite ?",42,"édifices culturels catholiques","4",3
"10","8",350,600,NA,NA,"non urbaine","0",350,600,1,FALSE,FALSE,0,0,"Necropole du site 6",51,"aire funéraire","5",2
"11","11",400,549,"EU_03","cite_castrum","urbaine","2",400,600,2,FALSE,FALSE,0,1,"Domus ecclesiae",44,"bâtiments ecclésiastiques","4",2
"12","11",550,600,"EU_08","cite_SO_1","urbaine","3",400,600,2,FALSE,TRUE,0,1,"Domus ecclesiae",44,"bâtiments ecclésiastiques","4",2
"13","12",550,699,NA,NA,"non urbaine","0",550,1200,3,FALSE,FALSE,1,1,"Sainte-Monegonde",43,"bâtiments conventuels ou monastiques","4",1
"14","12",700,899,"EU_10","burgus_sm","urbaine","2",550,1200,3,TRUE,TRUE,1,1,"Sainte-Monegonde",43,"bâtiments conventuels ou monastiques","4",1
"15","12",900,1200,"EU_11","suburbium_sm","urbaine","2",550,1200,3,FALSE,FALSE,1,1,"Sainte-Monegonde",43,"bâtiments conventuels ou monastiques","4",1
"16","13",337,800,NA,NA,"non urbaine","0",337,800,1,FALSE,FALSE,0,0,"Basilique Saint-Lidoire",42,"édifices culturels catholiques","4",3
"17","14",560,699,"EU_07","vicus_sm","urbaine","1",560,1800,7,FALSE,FALSE,0,2,"Monastere de Radegonde",43,"bâtiments conventuels ou monastiques","4",2
"18","14",700,899,"EU_10","burgus_sm","urbaine","2",560,1800,7,FALSE,TRUE,0,2,"Monastere de Radegonde",43,"bâtiments conventuels ou monastiques","4",2
"19","14",900,1355,"EU_11","suburbium_sm","urbaine","2",560,1800,7,FALSE,FALSE,0,2,"Monastere de Radegonde",43,"bâtiments conventuels ou monastiques","4",2
"20","14",1356,1499,"EU_20","chateauneuf_N","urbaine","2",560,1800,7,FALSE,FALSE,0,2,"Monastere de Radegonde",43,"bâtiments conventuels ou monastiques","4",2
"21","14",1500,1621,"EU_26","tours_N_1","urbaine","2",560,1800,7,FALSE,FALSE,0,2,"Monastere de Radegonde",43,"bâtiments conventuels ou monastiques","4",2
