"","OH_NUM","DATE_DEB","DATE_FIN","V_USAGE","V_URB","PORTEE","p_1","p_2","p_3","p_4","urb_1","urb_2","urb_3","urb_4","urb_5","urb_6"
"1",4,556,1350,"42","4","1",0,0,0,0,0,0,0,0,0,0
"2",5,442,1500,"42","4","1",1,23,2,0,0,22,1,3,0,0
"3",6,337,558,"42","4","3",1,21,1,0,0,21,1,1,0,0
"4",7,325,522,"42","4","3",2,18,0,0,0,18,1,0,0,1
"5",8,350,600,"51","5","2",0,14,0,0,0,14,0,0,0,0
"6",11,400,600,"44","4","2",0,16,2,0,0,16,0,2,0,0
"7",12,550,1200,"43","4","1",1,0,0,0,0,0,0,1,0,0
"8",13,337,800,"42","4","3",0,1,0,0,0,0,0,0,1,0
"9",14,560,1800,"43","4","2",0,1,0,2,0,0,0,2,1,0
"10",16,458,1800,"42","4","1",0,0,0,0,0,0,0,0,0,0
"11",18,325,1800,"51","5","2",0,1,0,0,1,0,0,0,0,0
"12",23,397,440,"42","4","2",0,1,0,0,0,0,0,0,1,0
"13",24,849,1000,"42","4","1",0,1,1,0,0,0,0,2,0,0
"14",25,854,1100,"42","4","1",0,0,0,0,0,0,0,0,0,0
"15",32,850,1100,"42","4","1",0,0,0,0,0,0,0,0,0,0
"16",34,877,918,"43","4","1",0,12,0,0,0,12,0,0,0,0
"17",35,920,1140,"42","4","1",0,1,0,0,0,0,0,0,1,0
"18",38,1150,1171,"43","4","1",0,1,0,0,0,0,0,0,1,0
"19",39,522,1350,"42","4","1",2,18,2,0,0,17,1,4,0,0
"20",40,470,1800,"42","4","3",1,2,0,3,0,0,0,3,2,1
"21",45,550,849,"43","4","2",2,1,1,2,0,0,1,3,1,1
"22",201,40,400,"15","1","3",2,2,1,0,5,0,0,0,0,0
"23",204,50,70,"14","1","2",0,1,0,0,1,0,0,0,0,0
"24",240,20,100,"37","3","1",0,0,0,0,0,0,0,0,0,0
"25",245,400,900,"51","5","2",0,5,0,0,5,0,0,0,0,0
"26",253,500,700,"37","3","1",2,19,0,0,0,19,2,0,0,0
