OH_NUM,NOM,V_USAGE,NOM_USAGE,PORTEE,DATE_DEB,FIAB_APP,DATE_FIN,FIAB_DISP,REFERENCE,REMARQUES,geom_wkt,V_URB,deb_zone_ID,deb_zone_nom,deb_zone_urb,deb_zone_densite,deb_zone_urb2
4,Saint-Vincent,42,édifices culturels catholiques,1,556,1,1350,3,,origine : monastere (point),POINT(525811.4866 6701875.4506),4,,,,0,C
5,Saint-Gervais et Saint-Protais,42,édifices culturels catholiques,1,442,1,1500,3,,(point),POINT(526096.1472 6702033.8236),4,EU_03,cite_E1_castrum,T,2,A
6,ecclesia prima de Saint Lidoire,42,édifices culturels catholiques,3,337,1,558,3,,(point),POINT(526104.6938 6702001.468),4,EU_03,cite_E1_castrum,T,2,A
7,Baptistere de la cite ?,42,édifices culturels catholiques,3,325,1,522,1,,"baptistere de la cathedrale ? / 522-46, eccl./bas. (point)",POINT(526106.093 6701976.9568),4,EU_03,cite_E1_castrum,T,2,A
8,Necropole du site 6,51,aire funéraire,2,350,3,600,3,"TAM, notice",sep. Bas-Empire du site 6 (point),POINT(526353.6825 6701917.316),5,,,,0,C
11,Domus ecclesiae,44,bâtiments ecclésistiques,2,400,3,600,3,Gregoire de Tours,(point),POINT(526131.5359 6701980.2946),4,EU_03,cite_E1_castrum,T,2,A
12,Sainte-Monegonde,43,bâtiments conventuels ou monastiques,1,550,3,1200,3,,(point),POINT(525094.6812 6701982.4899),4,,,,0,C
13,Basilique Saint-Lidoire,42,édifices culturels catholiques,3,337,1,800,3,,(point),POINT(524721.8527 6701863.5442),4,,,,0,C
14,Monastere de Radegonde,43,bâtiments conventuels ou monastiques,2,560,1,1800,3,,origine : monastere (point),POINT(525138.2319 6701808.9138),4,EU_07,vicus_sm,T,1,A
16,Saint-Pierre et Saint-Paul,42,édifices culturels catholiques,1,458,1,1800,3,,hypothese plus au nord (voir OH 1268) (point),POINT(525254.5872 6701620.7663),4,,,,0,C
18,cimetiere autour de Saint-Lidoire,51,aire funéraire,2,325,3,1800,3,,(point),POINT(524744.0705 6701892.0953),5,,,,0,C
23,Tombe de Martin,42,édifices culturels catholiques,2,397,1,440,1,,OH dupliquée et dates modifiéespour portée (cf 2804) LN,POINT(525202.5146 6701757.4206),4,,,,0,C
24,Notre-Dame-de-l'Ecrignole,42,édifices culturels catholiques,1,849,1,1000,3,,origine : monastere (au sud de la rue des Halles?) (point),POINT(525267.3778 6701763.2291),4,EU_06,centre_sm_E2,T,3,A
25,Saint-Clement,42,édifices culturels catholiques,1,854,1,1100,3,,origine : hospice (point),POINT(525053.2823 6701697.4101),4,,,,0,C
28,Saint-Denis,42,édifices culturels catholiques,1,1023,1,1790,2,,,POINT(525191.7785 6701826.0968),4,EU_11,suburbium_sm,T,2,A
31,Saint-Medard,42,édifices culturels catholiques,1,1140,1,1350,3,,ou 1750?,POINT(524721.8527 6701863.5442),4,,,,0,C
32,Saint-Simple,42,édifices culturels catholiques,1,850,1,1100,3,,(point),POINT(525093.8417 6701636.4716),4,,,,0,C
34,Saint-Martin-de-la-Bazoche,43,bâtiments conventuels ou monastiques,1,877,1,918,1,Mabire La Caille 1988,(point),POINT(526384.9306 6702040.6996),4,EU_09,cite_E2_NE,T,2,A
35,Notre-Dame-la-Pauvre,42,édifices culturels catholiques,1,920,1,1140,1,,(point),POINT(524765.1301 6701863.8719),4,EU_11,suburbium_sm,T,2,A
36,Notre-Dame-la-Riche,42,édifices culturels catholiques,1,1140,1,1800,3,,manque l'emprise des tours a l'ouest,POINT(524765.1301 6701863.8719),4,EU_11,suburbium_sm,T,2,A
38,Saint-Michel-de-la-Guerche,43,bâtiments conventuels ou monastiques,1,1150,2,1171,2,,(point),POINT(525485.7261 6701675.6319),4,EU_11,suburbium_sm,T,2,A
39,Sainte-Marie et Saint-Jean-Baptiste,42,édifices culturels catholiques,1,522,1,1350,3,,"baptistere de la cathedrale ? / 522-46, eccl./bas. (point)",POINT(526106.093 6701976.9568),4,EU_03,cite_E1_castrum,T,2,A
40,Baptistere de Saint-Martin,42,édifices culturels catholiques,3,470,1,1800,3,,(point),POINT(525232.0513 6701733.1479),4,EU_05,centre_sm_E1,F,1,B
45,Monastere d'Ingytrude,43,bâtiments conventuels ou monastiques,2,550,3,849,1,,interprete comme precedant N-D de l'Ecrignole  (au sud de la rue des Halles?) (point),POINT(525267.3778 6701763.2291),4,EU_06,centre_sm_E2,T,3,A
46,Saint-Simple,42,édifices culturels catholiques,1,1000,3,1778,1,"Giraudet 1883, Inventaire, Marot 2013",,POINT(525093.8417 6701636.4716),4,EU_11,suburbium_sm,T,2,A
47,Saint-Clement,42,édifices culturels catholiques,1,1100,3,1790,2,Marot 2013,,POINT(525053.2823 6701697.4101),4,EU_11,suburbium_sm,T,2,A
108,STR 19 (site 14),37,habitat,1,15,1,40,1,"TAM, notice 46, periode 1",,POINT(526009.0695 6701941.1076),3,EU_01,ville_ouverte_E1,T,2,A
109,structure 16 (site 14),37,habitat,1,40,1,300,1,"TAM, notice 46, periode 2",,POINT(526015.3258 6701956.6074),3,EU_01,ville_ouverte_E1,T,2,A
111,"piece 1, structure 16 (site14)",61,"commerce, échanges, boutiques",1,140,1,500,1,"TAM, notice 46, periode 3",,POINT(526017.0876 6701943.7047),6,EU_01,ville_ouverte_E1,T,2,A
112,structure 16 demantelee (site 14),37,habitat,1,300,1,500,1,"TAM, notice 46, periode 3",,POINT(526015.3258 6701956.6074),3,EU_02,ville_ouverte_E2,T,1,A
113,construction sur parcelle centrale (site 14),37,habitat,1,40,1,125,1,"TAM, notice 46, periode 3",probleme de fonction : a la fois boutique et habitat,POINT(526013.3219 6701941.4478),3,EU_01,ville_ouverte_E1,T,2,A
114,habitation sur parcelle centrale (site 14),37,habitat,1,125,1,225,1,"TAM, notice 46, periode 2",,POINT(526011.4057 6701952.2109),3,EU_01,ville_ouverte_E1,T,2,A
115,structure 18 (site 14),37,habitat,1,40,1,300,3,"TAM, notice 46, periode 2",,POINT(525998.1664 6701941.7854),3,EU_01,ville_ouverte_E1,T,2,A
116,structure 17 (site 14),37,habitat,1,40,1,160,1,"TAM, notice 46, periode 2",,POINT(525995.1723 6701955.365),3,EU_01,ville_ouverte_E1,T,2,A
117,structure 17 (site 14),37,habitat,1,160,3,500,1,"TAM, notice 46, periode 2",,POINT(525995.7309 6701952.2111),3,EU_01,ville_ouverte_E1,T,2,A
118,premiere phase de terres noires (site 14),37,habitat,1,450,3,688,3,"TAM, notice 46, periode 5-6",revoir les datations,POINT(526002.5808 6701949.5828),3,EU_04,entre_deux_E1,F,1,B
119,sepultures (site 14),51,aire funéraire,2,619,1,688,1,"TAM, notice 46, periode 5-6",revoir les datations,POINT(526007.7759 6701951.0542),5,EU_04,entre_deux_E1,F,1,B
201,"STR 18, culee du pont (site 16)",15,franchissements,3,40,1,400,1,"TAM, notice 53, periode 1",(point),POINT(525622.9788 6702103.7095),1,,,,0,C
202,"STR 19 = M20, systeme de noria/acqueduc (site 16)",16,adductions d'eau,2,40,1,400,1,"TAM, notice 53, periode 1",,POINT(525609.5191 6702101.662),1,,,,0,C
204,occupation indeterminee (site 3),14,aménagements du relief,2,50,3,70,1,"TAM, notice 18, ""le debut de l'occuation du site""",(point),POINT(526041.0272 6702156.1706),1,EU_01,ville_ouverte_E1,T,2,A
205,Etat 1 des thermes N (site 3),36,"bains, thermes",2,70,1,300,1,"TAM, notice 18, periode 1",,POINT(526039.3756 6702151.6217),3,EU_01,ville_ouverte_E1,T,2,A
206,mur W du rempart BE,21,système défensif urbain,2,300,1,1150,2,,,POINT(526030.1699 6702170.054),2,EU_03,cite_E1_castrum,T,2,A
207,tour angle NW du rempart BE,21,système défensif urbain,2,300,1,1050,2,,,POINT(526020.3262 6702192.6599),2,,,,0,C
