"portee.1";"portee.2";"portee.3";"portee.4"
"-25-25";14;3;0;0
"25-75";35;21;9;0
"75-125";49;16;10;0
"125-175";37;16;11;0
"175-225";34;16;10;0
"225-275";29;14;10;0
"275-325";28;94;14;0
"325-375";20;94;9;0
"375-425";23;96;9;0
"425-475";19;88;9;3
"475-525";27;89;9;4
"525-575";24;91;9;2
"575-625";26;99;8;2
"625-675";22;96;8;2
"675-725";22;100;8;2
"725-775";22;98;8;2
"775-825";31;102;8;2
"825-875";34;104;7;2
"875-925";44;198;7;2
"925-975";37;198;7;2
"975-1025";50;200;7;3
"1025-1075";47;215;8;2
"1075-1125";130;226;4;2
"1125-1175";130;134;6;2
"1175-1225";185;123;6;3
"1225-1275";180;124;5;1
"1275-1325";211;129;6;2
"1325-1375";205;224;5;1
"1375-1425";252;211;6;1
"1425-1475";237;225;7;1
"1475-1525";324;222;11;1
"1525-1575";307;215;11;0
"1575-1625";313;373;9;0
"1625-1675";308;296;9;0
"1675-1725";304;288;8;0
"1725-1775";307;261;10;0
"1775-1825";314;204;7;0
"1825-1875";222;39;1;0
"1875-1925";220;13;1;0
"1925-1975";212;11;1;0
"1975-2016";187;7;1;0
