"v_usage.12";"v_usage.13";"v_usage.14";"v_usage.15";"v_usage.16";"v_usage.17";"v_usage.18";"v_usage.19";"v_usage.21";"v_usage.22";"v_usage.30";"v_usage.31";"v_usage.32";"v_usage.34";"v_usage.35";"v_usage.36";"v_usage.37";"v_usage.41";"v_usage.42";"v_usage.43";"v_usage.44";"v_usage.51";"v_usage.52";"v_usage.53";"v_usage.61";"v_usage.62";"v_usage.63";"v_usage.65"
"-25-75";1;11;1;8;1;6;0;1;0;0;1;0;0;0;1;3;23;0;0;0;0;1;0;0;3;4;0;1
"75-175";4;12;0;8;1;3;0;1;0;0;2;0;0;0;2;2;39;1;0;0;0;1;0;0;4;3;0;0
"175-275";2;12;1;8;1;2;0;1;0;2;1;0;0;0;1;2;24;1;0;0;0;1;0;0;1;1;2;0
"275-375";1;10;3;13;1;1;1;0;76;2;0;0;0;0;0;2;20;1;3;0;0;4;0;0;1;0;3;0
"375-475";1;10;3;6;1;0;1;0;76;1;0;0;0;0;0;1;16;0;9;0;2;5;0;0;1;1;3;0
"475-575";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;14;0;13;5;2;5;0;2;1;1;3;0
"575-675";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;12;0;10;7;1;9;0;4;0;1;3;0
"675-775";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;11;0;10;7;0;10;0;7;0;0;3;0
"775-875";0;6;0;5;0;0;2;0;81;0;1;0;0;0;0;0;17;0;17;7;0;7;2;8;0;1;4;0
"875-975";0;15;0;5;0;0;2;0;168;0;1;0;0;0;0;0;16;0;20;11;0;5;2;6;0;0;4;0
"975-1075";0;15;0;5;0;0;2;0;182;0;1;0;1;1;0;0;19;0;26;9;0;3;5;7;0;1;4;0
"1075-1175";0;14;0;0;0;0;8;0;179;0;1;0;1;2;0;0;77;0;38;34;2;3;8;7;0;1;2;0
"1175-1275";0;1;0;0;0;0;8;0;79;0;1;0;2;4;0;0;116;0;32;56;2;3;10;10;0;0;3;0
"1275-1375";1;4;0;0;1;1;8;0;168;0;0;0;1;4;0;0;127;0;32;68;2;3;11;13;0;0;4;1
"1375-1475";1;4;0;0;1;0;8;0;173;0;1;0;4;3;0;0;170;0;28;81;2;2;11;15;0;1;3;1
"1475-1575";0;6;1;0;7;0;6;0;157;0;1;0;4;3;0;0;232;0;33;79;3;2;16;15;0;5;3;0
"1575-1675";0;13;1;0;7;0;73;0;238;0;1;0;7;3;0;0;229;0;26;86;5;1;17;21;0;3;3;0
"1675-1775";0;3;1;0;7;0;63;0;133;0;1;1;9;3;0;0;219;0;26;95;6;1;39;23;0;1;3;0
"1775-1875";0;1;1;0;8;0;23;0;103;0;0;1;4;2;0;0;226;0;27;75;5;1;21;26;0;0;3;0
"1875-1975";0;0;1;0;3;0;10;0;1;0;0;0;0;0;0;0;215;0;3;1;0;0;0;1;0;0;0;0
"1975-2016";0;0;1;0;1;0;5;0;0;0;0;0;0;0;0;0;185;0;2;0;0;0;0;1;0;0;0;0
