"v_usage.12";"v_usage.13";"v_usage.14";"v_usage.15";"v_usage.16";"v_usage.17";"v_usage.18";"v_usage.19";"v_usage.21";"v_usage.22";"v_usage.30";"v_usage.31";"v_usage.32";"v_usage.34";"v_usage.35";"v_usage.36";"v_usage.37";"v_usage.41";"v_usage.42";"v_usage.43";"v_usage.44";"v_usage.51";"v_usage.52";"v_usage.53";"v_usage.61";"v_usage.62";"v_usage.63";"v_usage.65"
"-25-250";4;14;2;8;1;7;0;1;0;0;2;0;0;0;2;3;50;1;0;0;0;1;0;0;4;5;2;1
"250-471";1;10;3;13;1;1;1;0;76;2;1;0;0;0;1;3;26;1;9;0;2;6;0;0;1;2;3;0
"471-750";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;16;0;13;7;2;11;0;6;1;2;3;0
"750-903";0;7;0;5;0;0;2;0;168;0;1;0;0;0;0;0;22;0;19;11;0;8;2;9;0;1;5;0
"903-1000";0;14;0;5;0;0;2;0;168;0;1;0;0;0;0;0;13;0;19;10;0;3;2;6;0;0;2;0
"1000-1100";0;15;0;5;0;0;2;0;182;0;1;0;1;1;0;0;20;0;27;9;0;3;5;7;0;1;4;0
"1100-1356";1;6;0;0;1;1;8;0;179;0;1;0;2;4;0;0;137;0;48;73;2;3;11;14;0;1;4;1
"1356-1622";1;14;1;0;7;1;76;0;258;0;1;0;6;3;0;0;256;0;35;99;3;2;16;22;0;5;3;1
"1622-1760";0;7;1;0;7;0;73;0;143;0;1;1;9;3;0;0;218;0;26;95;7;1;38;23;0;1;3;0
"1760-1840";0;1;1;0;8;0;30;0;104;0;1;1;7;3;0;0;226;0;27;79;5;1;22;25;0;0;3;0
"1840-1950";0;0;1;0;4;0;16;0;13;0;0;0;0;0;0;0;215;0;4;2;0;0;0;1;0;0;0;0
"1950-2016";0;0;1;0;2;0;8;0;1;0;0;0;0;0;0;0;196;0;2;0;0;0;0;1;0;0;0;0
